名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
三块广告牌,马丁·麦克唐纳,弗兰西斯·麦克多蒙德 / 伍迪·哈里森 / 山姆·洛克威尔 / 艾比·考尼什 / 卢卡斯·赫奇斯 / 彼特·丁拉基 / 约翰·浩克斯 / 卡赖伯·兰德里·琼斯 / 凯瑟琳·牛顿 / 凯瑞·康顿 / 泽利科·伊万内克 / 萨玛拉·维文 / 克拉克·彼得斯 / 尼克·西塞 / 阿曼达·沃伦 / 玛拉雅·瑞沃拉·德鲁  / 布兰登·萨克斯顿 / 迈克尔·艾伦·米利甘,2018-03-02(中国大陆) / 2017-09-04(威尼斯电影节) / 2017-11-10(美国),115分钟,美国 / 英国,剧情 / 犯罪,8.7,51594,46.4%,43.8%,9.0%,0.6%,0.2%
水形物语,吉尔莫·德尔·托罗,莎莉·霍金斯 / 迈克尔·珊农 / 理查德·詹金斯 / 奥克塔维亚·斯宾瑟 / 迈克尔·斯图巴 / 道格·琼斯 / 大卫·休莱特 / 尼克·西塞 / 斯图尔特·阿诺特 / 尼格尔·本内特 / 劳伦·李·史密斯 / 马丁·罗奇 / 阿莱格拉·富尔顿 / 约翰·卡普洛斯 / 摩根·凯利 / 马文·凯伊 / 德鲁·维尔戈维尔,2017-08-31(威尼斯电影节) / 2017-12-01(美国),123分钟,美国,剧情 / 奇幻 / 冒险,7.6,30222,19.6%,45.7%,30.1%,3.9%,0.7%
蝙蝠侠：煤气灯下的哥谭,刘山姆,詹妮弗·卡朋特 / 塔拉·斯特朗 / 布鲁斯·格林伍德 / 斯科特·帕特森 / 格蕾·德丽斯勒 / 卡瑞·伍尔 / 约翰·迪·玛吉欧 / 安东尼·海德 / 尤里·洛文塔尔 / 林肯·梅尔彻 / 布鲁斯·提姆 / 威廉·赛莱耶 / Chris Cox / Bob Joles / David Forseth,2018-01-23(美国),78分钟,美国,动画,6.7,809,7.2%,31.0%,52.3%,8.4%,1.0%
感谢您的服役,杰森·霍尔,海莉·贝内特 / 迈尔斯·特勒 / 凯莎·卡斯特-休伊斯 / 艾米·舒默 / 乔·科尔 / 凯特·林恩·希尔 / 比尤拉·寇尔 / 艾琳·达克 / 克里·卡希尔 / 塞西尔·M·亨利 / 斯科特·黑兹 / 奥马尔·J·多尔西 / 布拉德·比耶尔 / 阿利森·金 / 杰森·华纳·史密斯 / 迈克尔·洛夫·托利弗 / 唐娜·杜普兰提尔 / 彼特·奥梅拉 / 亨特·巴克 / 兰德尔·泰勒 / 丹尼斯·L·A·怀特 / 亚历克斯·科克尔 / 菲尔·阿米霍,2017-10-15(哈特兰电影节) / 2017-10-27(美国),109分钟,美国,剧情 / 传记 / 战争,6.7,385,9.9%,25.7%,55.5%,7.9%,1.0%
向阳之处必有声,上条大辅,多和田秀弥 / 小野寺晃良 / 三津谷亮 / 高岛礼子 / 山崎亚美,2017-06-24(日本),72分钟,日本,剧情 / 爱情 / 同性,6.0,421,6.4%,19.5%,47.1%,22.2%,4.9%
伯德小姐,格蕾塔·葛韦格,西尔莎·罗南 / 劳里·梅特卡夫 / 崔西·莱茨 / 卢卡斯·赫奇斯 / 蒂莫西·柴勒梅德 / 比妮·费尔德斯坦 / 罗伊丝·史密斯 / 斯蒂芬·亨德森 / 奥德娅·拉什 / 乔丹·罗德里格斯 / 凯瑟琳·牛顿 / 约翰·卡尔纳 / 杰克·麦克道曼 / 劳拉·马兰洛 / 安迪·巴克利 / 丹尼尔·祖瓦图 / 克里森·克拉克 / 丹妮尔·麦克唐纳 / 鲍勃·斯蒂芬森 / 路易莎·李 / 伦敦·托尔 / 本·康尼斯伯格 / 维克托·沃尔夫,2017-09-01(特柳赖德电影节) / 2017-11-03(美国),93分钟,美国,剧情 / 喜剧 / 家庭,8.1,49086,26.9%,50.6%,20.9%,1.3%,0.3%
铁雨,杨宇硕,郑雨盛 / 郭度沅 / 金甲洙 / 金义城 / 李璟荣 / 赵宇镇 / 朴善英 / 金芝荷 / 张铉诚 / 郑元中 / 元真雅 / 金亨宗 / 罗光旭 / 金明坤  / 朴恩惠 / 玄奉植 / 金基贤 / 金泰汉 / 克里斯汀·达尔顿 / 安德烈亚斯·弗龙克 / 丹尼尔·乔伊·奥尔布赖特,2017-12-14(韩国),139分钟,韩国,剧情 / 动作 / 战争,8.1,15393,29.5%,49.3%,19.5%,1.3%,0.4%
奇门遁甲,袁和平,大鹏 / 倪妮 / 李治廷 / 周冬雨 / 伍佰 / 柳岩 / 许明虎 / 杨一威 / 谢苗 / 孙明明 / 黄晓明,2017-12-14(中国大陆),113分钟,中国大陆 / 香港,动作 / 奇幻,4.6,38531,2.8%,7.4%,29.0%,36.0%,24.8%
解忧杂货店,韩杰,王俊凯 / 迪丽热巴 / 董子健 / 李鸿其 / 董李无忧 / 成龙 / 秦昊 / 陈都灵 / 郝蕾 / 李梦 / 成泰燊 / 高华阳 / 潘斌龙 / 孟慧圆,2017-12-29(中国大陆),109分钟,中国大陆,剧情 / 奇幻,5.2,44620,5.6%,12.9%,35.4%,28.3%,17.8%
东方快车谋杀案,肯尼思·布拉纳,肯尼思·布拉纳 / 佩内洛普·克鲁兹 / 威廉·达福 / 朱迪·丹奇 / 约翰尼·德普 / 乔什·加德 / 德里克·雅各比 / 小莱斯利·奥多姆 / 米歇尔·菲佛 / 黛西·雷德利 / 露西·宝通 / 奥利维娅·科尔曼 / 亚当·加西亚 / 米兰达·莱森 / 曼努埃尔·加西亚-鲁尔福 / 汤姆·巴特曼 / 马尔万·肯扎里 / 阿拉·萨菲 / 瑟盖·普罗宁,2017-11-10(美国/中国大陆) / 2017-11-03(英国),114分钟,美国 / 马耳他,剧情 / 悬疑 / 犯罪,7.0,111015,10.1%,37.2%,45.1%,6.8%,0.8%
