名字,导演,主演,年份,时长,国家,类型,评分
我是路人甲,尔冬升,万国鹏/王婷/沈凯/徐小琴/林晨/魏星/蒿怡帆/蒿怡菲/覃培军/王昭/张文斌/林俭/耿立树/张喜来/周鹏/寇骏/姜涛/袁咏仪/方中信/刘伟强/冯德伦/吴彦祖/尔冬升/麦兆辉/庄文强/方平/张静初/许鞍华/林更新/蒋梦婕/陆剑明,2015,134,China_中国大陆,剧情/喜剧,7.4
铁拳,安东尼·福奎阿,杰克·吉伦哈尔/福里斯特·惠特克/瑞秋·麦克亚当斯/娜奥米·哈里斯/50分/乌娜·劳伦斯/米格尔·戈麦斯/瑞塔·奥拉/维克托·奥尔蒂斯/克莱尔·弗利/博·纳普/约翰·塞纳迭姆博,2015,123,United States of America_美国/China_中国大陆,剧情/动作/运动,7.1
我们梦中见,布雷特·海利,布莱思·丹纳/马丁·斯塔尔/琼·斯奎布/雷亚·普尔曼/玛丽·凯·普莱斯/玛琳·阿克曼/山姆·艾里奥特/瑞德·斯科特/麦克斯·盖尔/马克·阿戴尔-里奥斯/阿什利·斯皮尔斯/阿尔蒂·曼/卡罗琳-拉格菲尔特,2015,92,United States of America_美国,剧情/喜剧,7.6
少年透明人,加布里埃尔·萨瓦特瑞斯,卢多维科·吉拉尔德罗/Ludovico Girardello/瓦莱莉·高利诺,2014,100,Italy_意大利,奇幻/冒险,6.6
撒迦利亚,克雷格·卓贝,玛格特·罗比/克里斯·派恩/切瓦特·埃加福特,2015,95,United States of America_美国/Iceland_冰岛,剧情/科幻/惊悚,6.0
非我,塔西姆·辛,瑞恩·雷诺兹/本·金斯利/马修·古迪/娜塔丽·马丁内兹/米歇尔·道克瑞/德里克·卢克/维克多·加博/玛丽安娜·宝拉·韦森特/山姆·佩吉/特瑞·韦伯/格里夫·弗斯特/艾米莉·特里梅因/加里·维克斯,2015,117,United States of America_美国,科幻/悬疑/惊悚,6.3
唇上之歌,三木孝浩,新垣结衣/木村文乃/桐谷健太/恒松祐里/下田翔大/葵若菜/柴田杏花/山口麻友/佐野勇斗/室井響/渡边大知/真岛秀和/石田光/木村多江/小木茂光/角替和枝/井川比佐志,2015,132,Japan_日本,剧情,7.5
如晴天，似雨天,弗兰克·威利,朱利安·夏特金/莉顿·梅斯特/黛博拉·梅辛/欧嘉·梅雷迪斯/韦恩·普雷特洛/乔治娅·希梅内斯·里弗谢/阿尔弗雷多·纳西索/比利·乔·阿姆斯特朗/萨布丽娜·马查多/达茜·福勒/Heather Whaley/Sammy Pignalosa/Frank Shattuck/Tamara Torres/Buster Whaley,2014,104,United States of America_美国,剧情/音乐,8.1
故事的故事,马提欧·加洛尼,萨尔玛·海耶克/文森特·卡索/约翰·C·赖利/托比·琼斯/雪莉·亨德森/斯塔西·马汀/阿尔芭·洛尔瓦彻/卡特里内尔·马龙/Hayley Carmichael/碧碧·凯芙/Christian Lees/Jonah Lees/Guillaume Delaunay/Kathryn Hunter/Jessie Cave,2015,125,Italy_意大利/France_法国/United Kingdom_英国,历史/奇幻,7.4
奸臣,闵奎东,朱智勋/金康宇/林智妍/千浩振/李宥英,2015,133,South Korea_韩国,剧情/情色/古装,6.3
头脑特工队,彼特·道格特 / 罗纳尔多·德尔·卡门,艾米·波勒/菲利丝·史密斯/理查德·坎德/比尔·哈德尔/刘易斯·布莱克/敏迪·卡灵/凯特林·迪亚斯/戴安·琳恩/凯尔·麦克拉克伦/波拉·庞德斯通/鲍比·莫伊尼汉/保拉·佩尔/大卫·戈尔兹/弗兰克·奥兹/乔什·库雷/弗利/约翰·拉岑贝格/卡洛斯·阿拉斯拉奇/皮特·萨加尔/拉什达·琼斯/罗里·艾伦/约翰·齐甘/雪莉·琳恩/拉瑞恩·纽曼/帕丽斯·冯·戴克,2015,94,United States of America_美国,喜剧/动画/冒险,9.0
小森林 冬春篇,森淳一,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,2015,120,Japan_日本,剧情,8.9
小男孩,阿加多·蒙特沃德,雅各布·萨尔瓦提/凯文·詹姆斯/迈克尔·拉帕波特/大卫·亨瑞/艾米丽·沃森/埃杜瓦多·维拉斯蒂吉/泰德·拉文/田川洋行/汤姆·威尔金森/本·卓别林/阿丽·兰德里/亚布拉哈姆·本鲁比/托比·胡斯/凯莉·格蕾森/Candice Azzara,2015,106,Mexico_墨西哥/United States of America_美国,剧情/喜剧/战争,8.2
可爱的你,关信辉,杨千嬅/古天乐/吴耀汉/吴浣仪/姜皓文/刘玉翠/狄哲龙/冯淬帆/马浴柯/火火/黄文慧,2015,113,China_香港/China_中国大陆,剧情,7.8
花与爱丽丝杀人事件,岩井俊二,苍井优/铃木杏/胜地凉/黑木华/木村多江/平泉成/相田翔子/铃木兰兰/郭智博/木村绿子,2015,100,Japan_日本,喜剧/动画,8.0
百元之恋,武正晴,安藤樱/新井浩文/稲川実代子/早織/宇野祥平/坂田聡/沖田裕樹/吉村界人/松浦慎一郎/伊藤洋三郎/重松収/根岸季衣,2014,115,Japan_日本,剧情/喜剧/运动,8.3
少年班,肖洋,孙红雷/周冬雨/董子健/王栎鑫/柳希龙/李佳奇/夏天/赵立新/王森,2015,106,China_中国大陆,剧情/喜剧,5.7
末日崩塌,布拉德·佩顿,道恩·强森/亚历珊德拉·达达里奥/卡拉·古奇诺/雨果·约翰斯通-伯特/雅奇·潘嘉比/科尔顿·海恩斯/艾恩·格拉法德/保罗·吉亚玛提/凯莉·米洛/李威尹/瓦内萨·罗斯/马特·杰拉德/阿特·帕金森/罗宾·阿特金·唐斯/艾伦·D·柏温/亚历克·乌特戈夫/摩根·格莉芬/杰米斯·巴特勒/艾伦·波普尔顿,2015,114,United States of America_美国/Australia_澳大利亚,动作/冒险/灾难,7.1
深夜食堂 电影版,松冈锭司,小林薰/绫田俊树/不破万作/松重丰/安藤玉惠/山中崇/宇野祥平/光石研/小田切让/高冈早纪/柄本时生/多部未华子/余贵美子/筒井道隆/菊池亚希子/田中裕子/平田薫,2015,119,Japan_日本,剧情,7.8
冲出康普顿,F·加里·格雷,科里·霍金斯/杰森·米切尔/小奥谢拉·杰克逊/阿尔迪斯·霍吉/保罗·吉亚玛提/凯斯·斯坦菲尔德/小尼尔·布朗/小马龙·耶茨/马修·博兰/R·马科斯·泰勒/卡拉·帕特森/亚历山德拉·希普/科瑞·雷诺兹,2015,147,United States of America_美国,剧情/音乐/传记,7.6
魔力麦克2,格里高利·雅各布,查宁·塔图姆/马特·波莫/乔·曼根尼罗/安布尔·赫德/贾达·萍克·史密斯/伊丽莎白·班克斯/安迪·麦克道威尔/加布里埃尔·伊格莱西亚斯/迈克尔·斯特拉罕/克丽丝特尔·亨特/简·麦克尼尔/唐纳德·格洛弗/凯文·纳什/亚当·罗德里格兹/史蒂芬·布斯/罗达·格里菲丝/金柏莉·德拉蒙德/瑞克·佛莱尔/胡安·彼德拉伊塔,2015,115,United States of America_美国,剧情/喜剧/音乐,5.9
谜城,林岭东,古天乐/余文乐/佟丽娅/张孝全/谢天华/元秋/李璨琛/伍允龙/姜皓文/林子善/任达华/高捷/马浴柯/谭炳文,2015,105,China_中国大陆/China_香港,动作/惊悚/犯罪,5.5
模仿游戏,莫滕·泰杜姆,本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪/罗里·金奈尔/艾伦·里奇/马修·比尔德/查尔斯·丹斯/马克·斯特朗/詹姆斯·诺斯科特/汤姆·古德曼-希尔/史蒂芬·威丁顿/伊兰·古德曼/杰克·塔尔登/埃里克斯·劳瑟/杰克·巴农,2015,114,United Kingdom_英国/United States of America_美国,剧情/同性/传记/战争,8.5
小羊肖恩,马克·伯顿 / 理查德·斯塔扎克,贾斯汀·弗莱彻/约翰·斯帕克斯/欧米德·吉亚李利/理查德·韦伯/凯特·哈伯/蒂姆·汉兹/安迪·尼曼/西蒙·格林诺/艾玛·泰特/杰克·保尔森/西恩·康诺利/亨利·伯顿/迪曼特·维瓦斯/苏菲·劳顿/妮娅·梅迪·詹姆斯,2015,85,United Kingdom_英国/France_法国,喜剧/动画/冒险,8.5
进击的巨人真人版：前篇,樋口真嗣,三浦春马/长谷川博己/水原希子/本乡奏多/三浦贵大/樱庭奈奈美/松尾谕/石原里美/皮埃尔泷/国村隼/渡部秀/水崎绫女/武田梨奈,2015,98,Japan_日本,动作/科幻/惊悚,5.1
女间谍,保罗·费格,梅丽莎·麦卡西/杰森·斯坦森/裘德·洛/萝丝·拜恩/莫蕾娜·巴卡林/李威尹/艾莉森·珍妮/鲍比·坎纳瓦尔/50分/彼得·塞拉菲诺威茨/卡洛斯·庞丝/扎克·伍兹/杰西卡·查芬/米兰达·哈特/艾丽西娅·维拉-贝利/娜吉丝·法克利,2015,120,United States of America_美国,喜剧/动作/犯罪,7.6
爆裂鼓手,达米安·沙泽勒,迈尔斯·特勒/J·K·西蒙斯/保罗·雷瑟/梅丽莎·贝努瓦/奥斯汀·斯托维尔/克里斯·马尔基/马科斯·卡锡/杰森·布莱尔/科菲·斯里博伊,2014,107,United States of America_美国,剧情/音乐,8.6
杀破狼2,郑保瑞,吴京/托尼·贾/张晋/任达华/卢惠光/恭硕良/林嘉华/蔡瀚亿/艾威/姜皓文/张驰/寇占文/古天乐/袁嘉敏,2015,120,China_香港/China_中国大陆,剧情/动作/犯罪,7.4
道士下山,陈凯歌,王宝强/郭富城/张震/林志玲/范伟/元华/王学圻/吴建豪/陈国坤/林雪/董琦/李雪健/田壮壮/陈虎/房祖名,2015,123,China_中国大陆/United States of America_美国,喜剧/动作/奇幻/冒险/武侠/古装,5.4
我是谁：没有绝对安全的系统,Baran bo Odar,汤姆·希林/埃利亚斯·穆巴里克/沃坦·维尔克·默林/Antoine Monot Jr./汉娜·赫斯普朗/崔娜·迪斯霍尔姆/Leopold Hornung/Katharina Matz/李奥那多·卡劳/Arndt Schwering-Sohnrey,2014,105,Germany_德国,悬疑/惊悚,8.0
贝利叶一家,艾里克·拉缇戈,露安·艾梅哈/嘉莲·维雅/弗朗索瓦·达密安/伊连·贝加拉/埃里克·埃尔莫斯尼诺/卢卡·戈尔贝格/罗珊妮·杜兰/玛尔·索度佩/斯代芬·沃杰托维茨/Clémence Lassalas,2014,105,France_法国/Belgium_比利时,剧情/喜剧/音乐/家庭,8.2
疯狂的麦克斯4：狂暴之路,乔治·米勒,汤姆·哈迪/查理兹·塞隆/尼古拉斯·霍尔特/休·基斯-拜恩/乔什·赫尔曼/内森·琼斯/佐伊·克罗维兹/罗茜·汉丁顿-惠特莉/丽莉·克亚芙/阿比·丽/考特尼·伊顿/安格斯·桑普森/理查德·卡特/梅根·盖尔/肖恩·哈普,2015,120,Australia_澳大利亚/United States of America_美国,动作/科幻/冒险,8.6
时光尽头的恋人,李·杜兰·克里格,布蕾克·莱弗利/米契尔·哈思曼/哈里森·福特/艾伦·伯斯汀/凯西·贝克/阿曼达·克鲁/Lynda Boyd/Hugh Ross/理查德·哈蒙/富尔·切切里/Anjali Jay/神奈川宏幸/皮特·J.加里/Izabel Pearce/Cate Richardson,2015,112,United States of America_美国,剧情/爱情/奇幻,6.3
坏姐姐之拆婚联盟,金泰均,陈意涵/池珍熙/陈学冬/钟丽缇/齐溪/李昕芸/禹惠林/刘仪伟/谢东燊/刘循子墨,2014,108,China_中国大陆/South Korea_韩国,喜剧/爱情,4.5
嘘！禁止想象！,卢镇秀,Choi Won-joon/Han Se-i/Kim Min-gi/Lee Jae-in/Kim Cheong-soon/Jang Moon-yeong/Hwang Ji-hoo/Yoo Ji-hyeon/Cha Bo-seong/Park Jeong-yoon/Seo Seung-hyeon/So-ra,2015,57,South Korea_韩国,喜剧/情色,5.1
机械姬,亚历克斯·加兰,奥斯卡·伊萨克/多姆纳尔·格利森/艾丽西亚·维坎德/克里·约翰逊/黛博拉·罗桑/李仙湖/Sonoya Mizuno/Evie Wray,2015,108,United Kingdom_英国,剧情/科幻,7.5
栀子花开,何炅,李易峰/张慧雯/蒋劲夫/魏大勋/杜天皓/张予曦/李心艾/宋轶/张云龙/柴格/王佑硕/李玟/陈羽凡/胡海泉,2015,107,China_中国大陆,爱情,4.1
