名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,1994,142,美国,剧情 / 犯罪,9.6,967284,82.5,15.4,1.9,0.1,0.1
这个杀手不太冷,吕克·贝松,让·雷诺,1994,110,法国,剧情 / 动作 / 犯罪,9.4,914520,73.8,22.5,3.4,0.2,0.1
阿甘正传,罗伯特·泽米吉斯,汤姆·汉克斯,1994,142,美国,剧情 / 爱情,9.4,777606,74.1,22.1,3.5,0.2,0.1
盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010,148,美国 / 英国,剧情 / 动作 / 科幻 / 悬疑 / 冒险,9.3,821435,68.3,26.7,4.6,0.3,0.1
泰坦尼克号,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1998,194,美国,剧情 / 爱情 / 灾难,9.2,717889,68.3,25.8,5.5,0.3,0.1
千与千寻,宫崎骏,柊瑠美,2001,125,日本,剧情 / 动画 / 奇幻,9.2,727300,67.9,26.9,4.9,0.2,0.1
三傻大闹宝莱坞,拉吉库马尔·希拉尼,阿米尔·汗,2011,171,印度,剧情 / 喜剧 / 爱情 / 歌舞,9.2,733816,66.4,26.1,6.4,0.7,0.4
霸王别姬,陈凯歌,张国荣,1993,171,中国大陆 / 香港,剧情 / 爱情 / 同性,9.5,701753,79.8,17.4,2.6,0.2,0.1
海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯,1998,165,意大利,剧情 / 音乐,9.2,636844,66.4,27.0,5.9,0.6,0.2
让子弹飞,姜文,姜文,2010,132,中国大陆 / 香港,剧情 / 喜剧 / 动作 / 西部,8.7,652761,50.0,36.8,11.5,1.2,0.5
当幸福来敲门,加布里埃莱·穆奇诺,威尔·史密斯,2008,117,美国,剧情 / 家庭 / 传记,8.9,582204,55.8,35.4,8.2,0.5,0.1
少年派的奇幻漂流,李安,苏拉·沙玛,2012,127,美国 / 台湾 / 英国 / 加拿大,剧情 / 奇幻 / 冒险,9.0,618577,60.7,31.6,7.0,0.5,0.2
怦然心动,罗伯·莱纳,玛德琳·卡罗尔,2010,90,美国,剧情 / 喜剧 / 爱情,8.9,601684,56.1,34.8,8.4,0.6,0.1
阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿,2010,162,美国 / 英国,动作 / 科幻 / 冒险,8.6,547261,47.4,37.0,14.0,1.2,0.4
大话西游之大圣娶亲,刘镇伟,周星驰,2014,95,香港 / 中国大陆,喜剧 / 爱情 / 奇幻 / 冒险,9.2,535074,66.8,26.1,6.5,0.5,0.2
剪刀手爱德华,蒂姆·波顿,约翰尼·德普,1990,105,美国,剧情 / 爱情 / 奇幻,8.7,508157,47.2,39.8,12.0,0.9,0.2
天使爱美丽,让-皮埃尔·热内,奥黛丽·塔图,2001,122,法国 / 德国,喜剧 / 爱情,8.7,505808,51.1,35.6,11.8,1.2,0.3
飞屋环游记,彼特·道格特 / 鲍勃·彼德森,爱德华·阿斯纳,2009,96,美国,剧情 / 喜剧 / 动画 / 冒险,8.9,533739,54.7,36.1,8.7,0.4,0.1
机器人总动员,安德鲁·斯坦顿,本·贝尔特,2008,98,美国,喜剧 / 科幻 / 动画,9.3,538482,70.0,24.8,4.8,0.3,0.1
那些年，我们一起追的女孩,九把刀,柯震东,2012,110,台湾,剧情 / 喜剧 / 爱情,8.1,513710,32.4,43.7,21.0,2.2,0.6
放牛班的春天,克里斯托夫·巴拉蒂,热拉尔·朱尼奥,2004,97,法国 / 瑞士 / 德国,剧情 / 音乐,9.2,491600,65.6,29.3,4.8,0.2,0.1
楚门的世界,彼得·威尔,金·凯瑞,1998,103,美国,剧情 / 科幻,9.1,503431,61.4,32.3,5.9,0.3,0.1
忠犬八公的故事,拉斯·霍尔斯道姆,理查·基尔,2009,93,美国 / 英国,剧情,9.2,502947,68.2,25.7,5.6,0.4,0.1
疯狂动物城,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什,金妮弗·古德温,2016,109,美国,喜剧 / 动画 / 冒险,9.2,549708,64.3,29.8,5.5,0.3,0.1
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭,平采娜·乐维瑟派布恩,2012,118,泰国,剧情 / 喜剧 / 爱情,8.3,464523,37.1,41.9,18.6,2.0,0.5
星际穿越,克里斯托弗·诺兰,马修·麦康纳,2014,169,美国 / 英国 / 加拿大 / 冰岛,剧情 / 科幻 / 冒险,9.2,530394,65.9,27.0,6.2,0.6,0.3
七宗罪,大卫·芬奇,摩根·弗里曼,1995,127,美国,剧情 / 悬疑 / 惊悚 / 犯罪,8.7,456092,48.7,40.4,10.2,0.6,0.2
